City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
229,Taoudenni,ML,2022-04-01 00:16:16,22.6783,-3.9836,299.14,9,100,3.22
230,Mayumba,GA,2022-04-01 00:16:16,-3.432,10.6554,298.71,91,91,2.25
231,Luderitz,NA,2022-04-01 00:16:17,-26.6481,15.1594,289.02,77,0,7.57
232,Buraydah,SA,2022-04-01 00:16:17,26.326,43.975,295.4,19,0,4.84
233,Castro,BR,2022-04-01 00:16:17,-24.7911,-50.0119,285.9,98,100,3.64
234,Nikolskoye,RU,2022-04-01 00:17:18,59.7035,30.7861,269.71,97,15,0.69
235,Mount Gambier,AU,2022-04-01 00:16:01,-37.8333,140.7667,290.45,49,16,4.97
236,Osorno,CL,2022-04-01 00:13:54,-40.5667,-73.15,284.96,80,100,1.98
237,Westport,US,2022-04-01 00:13:40,41.1415,-73.3579,289.07,94,100,12.35
238,Beira,MZ,2022-04-01 00:17:19,-19.8436,34.8389,296.61,90,4,0.47
239,Atar,MR,2022-04-01 00:17:19,20.5169,-13.0499,296.41,18,0,4.04
240,Shwebo,MM,2022-04-01 00:17:20,22.5667,95.7,299.75,39,22,2.41
241,Cape Town,ZA,2022-04-01 00:12:32,-33.9258,18.4232,290.44,73,11,2.68
242,Ilulissat,GL,2022-04-01 00:17:20,69.2167,-51.1,265.16,86,100,1.54
243,Souillac,MU,2022-04-01 00:17:21,-20.5167,57.5167,298.36,88,75,8.23
244,Lorengau,PG,2022-04-01 00:17:21,-2.0226,147.2712,302.46,71,91,6.3
245,Ashqelon,IL,2022-04-01 00:17:21,31.6693,34.5715,286.94,70,4,1.33
246,Kamaishi,JP,2022-04-01 00:17:22,39.2667,141.8833,277.81,41,69,5.06
247,Kushmurun,KZ,2022-04-01 00:17:22,52.4503,64.6311,273.29,87,93,4.18
248,Mount Isa,AU,2022-04-01 00:17:22,-20.7333,139.5,300.02,24,1,5.66
249,Narsaq,GL,2022-04-01 00:17:23,60.9167,-46.05,276.27,79,79,2.13
250,Devonport,AU,2022-04-01 00:17:23,-41.1667,146.35,290.37,43,0,3.72
251,Sambava,MG,2022-04-01 00:17:24,-14.2667,50.1667,296.77,90,99,3.01
252,Magadan,RU,2022-04-01 00:17:24,59.5667,150.8,262.97,66,94,3.0
253,Ngunguru,NZ,2022-04-01 00:17:25,-35.6167,174.5,295.14,65,92,1.77
254,Smithers,CA,2022-04-01 00:13:39,54.7804,-127.1743,279.63,47,91,3.21
255,Sonoita,MX,2022-04-01 00:17:25,31.85,-112.8333,297.87,21,12,6.8
256,Beloha,MG,2022-04-01 00:17:26,-25.1667,45.05,293.5,84,0,3.69
257,Vao,NC,2022-04-01 00:17:26,-22.6667,167.4833,299.18,86,10,7.05
258,Sitka,US,2022-04-01 00:17:26,57.0531,-135.33,280.09,70,100,3.09
259,Evans,US,2022-04-01 00:16:05,33.5337,-82.1307,296.5,61,39,1.79
260,Hovd,MN,2022-04-01 00:17:27,48.0056,91.6419,270.2,34,9,0.53
261,Touros,BR,2022-04-01 00:17:27,-5.1989,-35.4608,299.86,80,100,5.21
262,Arlit,NE,2022-04-01 00:17:28,18.7369,7.3853,298.94,4,1,2.62
263,Kribi,CM,2022-04-01 00:17:28,2.95,9.9167,299.95,87,55,2.57
264,Kivsharivka,UA,2022-04-01 00:17:28,49.6213,37.7036,282.92,74,100,4.86
265,Butterworth,MY,2022-04-01 00:17:29,5.3991,100.3638,299.17,100,20,0.51
266,Mala,PE,2022-04-01 00:17:29,-12.6581,-76.6308,294.23,85,38,2.57
267,Zhanaozen,KZ,2022-04-01 00:17:30,43.3,52.8,282.5,49,0,2.19
268,Saint-Francois,FR,2022-04-01 00:17:30,46.4154,3.9054,275.84,93,100,4.63
269,Alyangula,AU,2022-04-01 00:17:30,-13.8483,136.4192,301.76,64,23,4.61
270,Sibolga,ID,2022-04-01 00:17:31,1.7427,98.7792,297.67,83,95,1.18
271,Zhanakorgan,KZ,2022-04-01 00:17:31,43.9098,67.2495,284.5,40,100,0.77
272,Leningradskiy,RU,2022-04-01 00:17:31,69.3833,178.4167,258.6,91,97,2.1
273,Clyde River,CA,2022-04-01 00:17:32,70.4692,-68.5914,254.28,92,0,1.54
274,Sorong,ID,2022-04-01 00:17:32,-0.8833,131.25,300.39,78,100,0.85
275,Labuhan,ID,2022-04-01 00:17:32,-6.8844,112.2051,298.09,88,94,5.4
276,Ust-Kuyga,RU,2022-04-01 00:17:33,70.0167,135.6,254.55,98,100,3.96
277,Severo-Kurilsk,RU,2022-04-01 00:17:33,50.6789,156.125,271.68,79,84,7.68
278,Telgte,DE,2022-04-01 00:17:34,51.9833,7.7833,274.45,94,75,4.63
279,Kodinsk,RU,2022-04-01 00:18:34,58.6881,99.1844,273.86,90,100,3.43
280,Innisfail,AU,2022-04-01 00:18:34,-17.5333,146.0333,300.61,52,3,0.93
281,Benguela,AO,2022-04-01 00:18:35,-12.5763,13.4055,298.25,86,95,1.18
282,Iqaluit,CA,2022-04-01 00:18:35,63.7506,-68.5145,270.0,92,100,3.6
283,Oksfjord,NO,2022-04-01 00:18:36,70.2396,22.3479,267.04,90,100,2.25
284,Yairipok,IN,2022-04-01 00:18:36,24.6667,94.0667,289.03,84,22,0.65
285,Bilibino,RU,2022-04-01 00:18:36,68.0546,166.4372,252.96,92,92,1.17
286,Reo,BF,2022-04-01 00:18:37,12.3167,-2.4667,304.24,8,10,3.08
287,Jumla,NP,2022-04-01 00:18:37,29.2747,82.1838,281.09,51,0,2.21
288,Bonfim,BR,2022-04-01 00:18:37,3.0833,-59.95,302.55,42,75,3.6
289,Pevek,RU,2022-04-01 00:18:38,69.7008,170.3133,247.65,93,78,2.17
290,Quatre Cocos,MU,2022-04-01 00:18:38,-20.2078,57.7625,298.76,78,91,9.0
291,Verkhnyaya Toyma,RU,2022-04-01 00:18:39,62.2349,44.9985,256.78,100,87,0.79
292,Tezu,IN,2022-04-01 00:18:39,27.9167,96.1667,293.19,94,100,1.49
293,Coquimbo,CL,2022-04-01 00:18:39,-29.9533,-71.3436,290.35,72,0,2.68
294,Macau,MO,2022-04-01 00:15:04,22.2006,113.5461,293.07,88,40,7.2
