,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
272,Taganak,6.0833,118.3,78.94,76,100,9.98,PH,overcast clouds
273,Cidreira,-30.1811,-50.2056,72.37,81,100,7.9,BR,overcast clouds
274,Kathu,7.9178,98.3332,80.42,84,100,12.88,TH,overcast clouds
275,Mulanje,-16.0316,35.5,77.76,87,32,2.08,MW,moderate rain
276,Broken Hill,-31.95,141.4333,65.91,42,0,6.91,AU,clear sky
277,Pafos,34.7667,32.4167,78.22,68,74,14.97,CY,broken clouds
278,Kargasok,59.0556,80.8572,35.24,99,100,10.09,RU,overcast clouds
279,Pastavy,55.1168,26.8326,39.36,72,100,17.16,BY,overcast clouds
280,Yairipok,24.6667,94.0667,69.66,74,2,3.33,IN,clear sky
281,Chokwe,-24.5333,32.9833,95.49,23,5,8.21,MZ,clear sky
282,Ostrovnoy,68.0531,39.5131,20.05,87,84,8.32,RU,broken clouds
283,Urumqi,43.801,87.6005,63.55,20,0,4.47,CN,clear sky
284,Jalingo,8.8833,11.3667,105.33,17,95,4.61,NG,overcast clouds
285,Mokhsogollokh,61.4681,128.9203,22.05,92,100,8.3,RU,light snow
286,Maneadero,31.7167,-116.5667,58.1,87,19,8.01,MX,few clouds
287,Oranjestad,12.524,-70.027,80.55,74,75,18.41,AW,broken clouds
288,Adrar,20.5022,-10.0711,89.65,12,0,16.58,MR,clear sky
289,Port Shepstone,-30.7414,30.455,79.77,74,100,6.98,ZA,overcast clouds
290,Puerto Colombia,10.9878,-74.9547,80.69,75,100,9.31,CO,overcast clouds
291,Ola,59.5833,151.2833,10.15,89,93,9.75,RU,overcast clouds
292,Tura,25.5198,90.2201,74.37,78,0,5.23,IN,clear sky
293,Aguimes,27.9054,-15.4461,66.83,49,75,23.02,ES,broken clouds
294,Vila Velha,-20.3297,-40.2925,84.15,77,75,3.44,BR,broken clouds
295,Verkhnevilyuysk,63.4453,120.3167,7.7,97,89,4.81,RU,overcast clouds
296,Sikasso,10.9167,-7.0,100.92,24,74,3.2,ML,broken clouds
297,Kuryk,43.2,51.65,58.37,47,100,24.4,KZ,overcast clouds
298,Tezu,27.9167,96.1667,66.45,96,96,3.76,IN,overcast clouds
299,Provideniya,64.3833,-173.3,-5.15,88,3,7.96,RU,clear sky
300,Saint-Pierre,-21.3393,55.4781,80.28,82,100,8.05,RE,overcast clouds
301,Manolas,38.05,21.35,68.29,50,20,12.66,GR,few clouds
302,Muroto,33.2833,134.15,57.2,61,1,4.59,JP,clear sky
303,Tasiilaq,65.6145,-37.6368,15.17,86,76,8.41,GL,broken clouds
304,Moron,-34.6534,-58.6198,64.94,33,0,5.28,AR,clear sky
305,Samarai,-10.6167,150.6667,82.06,77,100,7.65,PG,overcast clouds
306,Ponta Do Sol,32.6667,-17.1,63.72,56,17,10.07,PT,few clouds
307,Nikita,44.5333,34.2333,38.44,54,62,6.33,UA,broken clouds
308,Khandyga,62.6667,135.6,1.51,96,99,2.13,RU,overcast clouds
309,Grindavik,63.8424,-22.4338,37.87,87,75,10.36,IS,broken clouds
310,Catemaco,18.4167,-95.1167,76.68,69,3,7.16,MX,clear sky
311,Pimentel,-6.8367,-79.9342,68.29,83,0,9.22,PE,clear sky
312,Houma,29.5958,-90.7195,68.0,93,0,9.22,US,clear sky
313,Cabo San Lucas,22.8909,-109.9124,63.52,70,50,7.0,MX,scattered clouds
314,Uyutne,45.1994,33.3014,42.39,56,9,12.88,UA,clear sky
315,Berbera,10.4396,45.0143,86.94,57,5,14.09,SO,clear sky
316,Fonte Boa,-2.4959,-66.2662,77.22,93,100,0.6,BR,overcast clouds
317,Omsukchan,62.5333,155.8,-4.83,99,99,3.13,RU,overcast clouds
318,El Alto,-4.2714,-81.2147,71.26,67,94,1.68,PE,overcast clouds
319,Sao Filipe,14.8961,-24.4956,71.38,74,16,9.75,CV,few clouds
320,Coquimbo,-29.9533,-71.3436,53.33,74,100,3.44,CL,fog
321,Cayenne,4.9333,-52.3333,82.09,1,75,10.36,GF,broken clouds
322,Ploemeur,47.7333,-3.4333,50.09,61,100,14.97,FR,overcast clouds
323,Mpika,-11.8343,31.4529,70.3,86,99,1.28,ZM,moderate rain
324,Manaure,11.7751,-72.4445,82.38,67,100,9.42,CO,overcast clouds
325,Narsaq,60.9167,-46.05,41.27,64,98,1.88,GL,overcast clouds
326,Kinkala,-4.3614,14.7644,83.44,67,98,2.84,CG,light rain
327,Gunjur,13.2019,-16.7339,75.33,54,0,13.4,GM,clear sky
328,Novo Cruzeiro,-17.4681,-41.8753,78.55,50,3,5.37,BR,clear sky
329,Goderich,43.7501,-81.7165,34.92,86,100,5.75,CA,overcast clouds
330,Severnyy,50.677,36.5532,41.04,38,0,11.18,RU,clear sky
331,Lompoc,34.6391,-120.4579,51.78,98,0,8.05,US,mist
332,Los Andes,-32.8337,-70.5983,72.01,26,0,3.47,CL,clear sky
333,Arraial Do Cabo,-22.9661,-42.0278,82.26,74,40,5.75,BR,scattered clouds
334,Esmeraldas,-19.7625,-44.3139,76.06,58,11,5.3,BR,few clouds
335,San Matias,-16.3667,-58.4,87.21,60,0,3.96,BO,clear sky
336,Kota Bahru,6.1333,102.2386,82.35,78,20,9.22,MY,few clouds
337,Portland,45.5234,-122.6762,50.74,88,100,11.99,US,overcast clouds
338,Katsuura,35.1333,140.3,51.19,91,100,26.73,JP,light rain
339,Odweyne,9.4092,45.064,90.14,15,38,6.58,SO,scattered clouds
340,Puerto Madryn,-42.7692,-65.0385,60.98,40,12,21.92,AR,few clouds
341,Wewak,-3.5534,143.6268,79.32,87,100,3.22,PG,overcast clouds
342,Kushima,31.4583,131.2333,52.52,70,5,2.53,JP,clear sky
343,Broome,42.2506,-75.833,39.38,73,100,6.91,US,overcast clouds
344,Winslow,35.0242,-110.6974,54.68,44,90,2.37,US,overcast clouds
345,Rock Sound,24.9,-76.2,76.55,76,99,7.29,BS,overcast clouds
